Frame,FPS
0,117.4936
1,280.7806
2,507.4596
3,139.0298
4,636.011
5,59.64487
6,31.25274
7,66.9044
8,61.65685
9,489.1171
10,73.80836
11,62.49336
12,61.60632
13,65.41976
14,66.8208
15,64.17579
16,63.23871
17,32.55632
18,31.19239
19,373.3433
20,80.68811
21,67.69701
22,62.406
23,71.13995
24,348.2258
25,77.49114
26,76.22184
27,64.1079
28,70.63445
29,68.31861
30,68.88096
31,67.41588
32,68.96885
33,65.54068
34,68.3756
35,67.66862
36,66.00835
37,67.65992
38,66.20193
39,67.45954
40,68.25799
41,65.03938
42,66.50528
43,68.59981
44,68.2538
45,67.10734
46,67.77869
47,117.3048
48,219.2021
49,219.9397
50,186.3099
51,211.1932
52,182.4818
53,187.7229
54,225.21
55,180.6228
56,221.4496
57,203.4547
58,208.9646
59,175.8984
60,219.3993
61,197.7653
62,215.1787
63,180.9595
64,218.5363
65,188.4695
66,207.6757
67,188.5974
68,230.5794
69,192.3706
70,199.4296
71,202.1999
72,198.0983
73,206.7953
74,194.2087
75,203.4257
76,189.4011
77,164.8098
78,268.3483
79,193.2591
80,184.3624
81,221.8574
82,197.9845
83,208.8817
84,189.3401
85,195.1219
86,208.0256
87,203.4133
88,204.8005
89,180.9365
90,216.9009
91,193.9262
92,217.9409
93,196.8698
94,208.7857
95,189.2935
96,212.0486
97,193.3563
98,200.3647
99,191.0439
100,212.3052
101,203.4547
102,192.1673
103,188.0831
104,224.0244
105,187.8993
106,213.2242
107,206.9622
108,169.9466
109,226.0398
110,210.1414
111,205.5583
112,198.4363
113,203.4961
114,196.4328
115,192.027
116,206.3813
117,211.815
118,185.5632
119,198.8823
120,197.1414
121,201.7716
122,211.6626
123,199.8162
124,209.3452
125,85.19411
126,67.46591
127,64.80167
128,67.84306
129,68.91134
130,66.28794
131,68.73656
132,65.61981
133,67.5256
134,65.49474
135,66.98238
136,65.32745
137,71.26263
138,64.27479
139,68.9679
140,64.70566
141,69.15295
142,66.9344
143,67.0412
144,65.02119
145,61.40997
146,70.71786
147,68.14588
148,64.69561
149,70.78393
150,63.35329
151,68.99931
152,65.16483
153,73.56836
154,62.84328
155,70.2484
156,67.73645
157,66.75345
158,66.25368
159,66.0079
160,67.00167
161,65.88744
162,67.83801
163,67.81224
164,67.88129
165,64.57529
166,70.00105
167,63.96848
168,67.23051
169,65.9022
170,67.86378
171,64.97684
172,66.72093
173,67.36093
174,67.3968
175,67.84537
176,62.42236
177,70.92249
178,67.95556
179,66.32707
180,68.88239
181,66.34335
182,68.77106
183,66.925
184,67.73278
185,65.34837
186,68.46127
187,61.71544
188,72.86665
189,61.99321
190,72.6871
191,64.79118
192,68.09345
193,67.75159
194,69.30296
195,65.30783
196,65.78991
197,68.02212
198,66.74676
199,65.6629
200,69.12522
201,67.92278
202,67.9454
203,65.2831
204,68.87621
205,66.11701
206,67.83984
207,62.28977
208,69.79243
209,67.05874
210,68.68085
211,68.14217
212,66.49599
213,66.70269
214,68.68651
215,69.55989
216,64.44171
217,71.14552
218,63.62173
219,66.90261
220,67.48003
221,68.73844
222,65.99397
223,65.97176
224,66.25719
225,65.65988
226,71.27329
227,67.10419
228,65.03981
229,68.46501
230,66.61737
231,68.24587
232,66.00398
233,68.38355
234,66.77707
235,66.97968
236,63.79545
237,73.03588
238,63.39627
239,69.66165
240,65.6323
241,67.10779
242,64.91441
243,68.17702
244,67.40725
245,63.30396
246,68.13474
247,69.57925
248,63.19874
249,71.09797
250,66.20499
251,66.71426
252,66.81053
253,69.45988
254,64.83402
255,70.13262
256,65.66247
257,68.58193
258,63.66669
259,70.75088
260,60.65127
261,76.27126
262,65.74579
263,67.89281
264,66.29498
265,65.86921
266,69.85435
267,67.15916
268,67.69243
269,65.84882
270,69.6277
271,67.88221
272,65.85403
273,67.19075
274,67.03176
275,68.00177
276,68.30368
277,65.36076
278,65.75789
279,67.54794
280,65.7514
281,66.69067
282,70.01428
283,66.58809
284,67.67091
285,67.01066
286,67.35912
287,65.25541
288,57.08088
289,79.16967
290,68.98692
291,65.13088
292,71.17337
293,68.17051
294,66.11789
295,65.66678
296,66.82794
297,67.97449
298,68.44299
299,67.26985
300,67.19301
301,67.50417
302,66.5779
303,68.07676
304,68.34943
305,67.58904
306,67.96664
307,65.08467
308,67.41679
309,65.93305
310,66.12095
311,71.93883
312,65.66204
313,64.18073
314,69.9888
315,68.93557
316,67.66541
317,66.63424
318,67.69747
319,67.24
320,66.37154
321,69.8017
322,66.89768
323,67.867
324,66.13494
325,67.23096
326,66.58366
327,67.44998
328,67.12491
329,68.42426
330,66.13494
331,67.72453
332,66.31651
333,66.36405
334,69.73647
335,65.9022
336,68.86057
337,67.05964
338,66.63158
339,67.65076
340,65.38084
341,67.62469
342,65.18693
343,69.82411
344,68.46455
345,66.85029
346,63.73771
347,71.97403
348,67.69747
349,66.49245
350,66.55441
351,68.40132
352,68.41068
353,67.09248
354,67.67823
355,66.68801
356,68.82833
357,64.80672
358,70.37
359,65.69525
360,68.60028
361,66.42091
362,69.57006
363,67.51785
364,67.64343
365,66.87129
366,64.86683
367,65.56603
368,67.58812
369,68.07676
370,68.98074
371,67.01829
372,66.61426
373,69.99958
374,65.47674
375,67.47684
376,68.0902
377,66.3592
378,68.91656
379,65.99876
380,67.90203
381,66.13276
382,67.14248
383,68.52835
384,67.45773
385,64.58989
386,69.50478
387,68.07398
388,66.30201
389,67.58949
390,67.43316
391,67.52286
392,66.60983
393,68.58146
394,65.92696
395,67.74196
396,67.73875
397,68.51756
398,65.98962
399,66.84268
400,67.17947
401,66.14457
402,69.098
403,64.00901
404,70.63693
405,67.57579
406,67.50964
407,66.07158
408,66.70491
409,68.36672
410,65.38426
411,68.55984
412,68.02953
413,65.73369
414,67.2504
415,67.20611
416,67.32193
417,68.20119
418,67.62605
419,67.06818
420,65.51706
421,68.14774
422,67.27348
423,66.2774
424,69.24776
425,67.18082
426,65.98003
427,66.72449
428,70.8883
429,66.70135
430,68.41209
431,64.91146
432,69.67912
433,65.48317
434,70.10509
435,67.0457
436,67.38953
437,66.44563
438,67.01964
439,69.30679
440,67.52742
441,66.11133
442,66.54246
443,67.11724
444,66.23174
445,66.44386
446,67.86977
447,70.43394
448,64.76936
449,69.077
450,67.52058
451,67.12851
452,67.06458
453,64.90261
454,69.41022
455,66.00442
456,68.53164
457,63.91328
458,70.59654
459,67.85641
460,66.24008
461,69.29047
462,64.80587
463,68.61393
464,65.28396
465,70.66439
466,64.96924
467,69.45264
468,66.18134
469,68.53164
470,66.46197
471,68.15006
472,63.21912
473,69.55264
474,70.21782
475,65.84492
476,68.39104
477,66.29146
478,66.85699
479,66.51059
480,69.5507
481,66.14719
482,68.21794
483,66.37814
484,68.47111
485,67.46364
486,67.85135
487,66.79
488,67.17496
489,68.51521
490,67.86286
491,66.58898
492,64.83739
493,69.53184
494,64.50531
495,69.83241
496,67.23684
497,68.63983
498,66.70313
499,67.64664
500,68.07769
501,66.409
502,69.07604
503,65.16228
504,68.98978
505,66.71737
506,67.99067
507,66.43415
508,66.52386
509,68.43924
510,65.9274
511,67.77685
512,68.1301
513,68.78288
514,65.54025
515,66.38123
516,66.5677
517,70.97081
518,68.08974
519,68.24122
520,67.43497
521,66.66666
522,67.33735
523,67.29837
524,67.54885
525,68.97694
526,65.38127
527,66.75077
528,66.01227
529,69.72675
530,66.89545
531,68.10505
532,66.32355
533,69.12092
534,66.21157
535,67.37818
536,66.00224
537,61.30756
538,69.35486
539,67.50462
540,65.95654
541,69.48353
542,66.26291
543,67.55205
544,67.5142
545,68.64549
546,65.30186
547,70.1159
548,67.43998
549,66.36801
550,68.27617
551,67.59726
552,69.55119
553,65.28651
554,68.32048
555,66.49687
556,69.53378
557,66.64934
558,68.28642
559,69.56715
560,66.14281
561,64.00287
562,67.91863
563,66.02011
564,69.6117
565,68.51098
566,69.75495
567,66.74364
568,68.47158
569,66.21026
570,68.21748
571,66.27564
572,68.44486
573,66.87621
574,68.84587
575,65.98787
576,69.99615
577,67.85365
578,64.3716
579,71.1278
580,66.40459
581,65.86183
582,70.64641
583,66.48936
584,65.86748
585,68.25053
586,69.66845
587,67.63886
588,66.01053
589,66.4165
590,67.85043
591,69.50237
592,67.39362
593,68.03276
594,65.79857
595,68.2361
596,68.00224
597,67.3437
598,66.03319
599,68.51802
600,67.71581
601,69.7355
602,68.14867
603,65.99832
604,67.02053
605,67.47411
606,67.38818
607,68.3742
608,69.51057
609,67.7204
610,67.31197
611,66.18309
612,66.40944
613,65.68878
614,70.97836
615,67.36002
616,66.25632
617,65.63015
618,70.87474
619,66.98193
620,68.88855
621,66.85162
622,68.69123
623,66.72093
624,68.22865
625,67.59863
626,67.14474
627,67.89327
628,68.45423
629,67.33689
630,64.85673
631,69.94719
632,66.19405
633,67.02637
634,67.31061
635,65.78774
636,69.34573
637,69.00121
638,64.74587
639,69.61461
640,66.18703
641,65.60991
642,70.31013
643,62.34453
644,75.59093
645,64.67887
646,69.81046
647,70.03095
648,65.33385
649,69.1104
650,68.64455
651,67.28298
652,65.67799
653,68.15006
654,69.77978
655,65.65427
656,69.45361
657,66.06286
658,68.71199
659,65.91566
660,68.60687
661,66.38211
662,68.00639
663,66.49555
664,68.04109
665,64.54195
666,67.05244
667,71.79266
668,68.24448
669,66.86995
670,66.13844
671,67.76766
672,69.51154
673,65.30953
674,69.9379
675,69.27174
676,67.31559
677,67.94724
678,67.35912
679,68.51943
680,66.32575
681,68.73277
682,68.76727
683,68.23005
684,64.97768
685,69.93887
686,64.2496
687,70.31557
688,66.95143
689,67.72223
690,67.41679
691,68.37186
692,66.71737
693,67.18127
694,67.42952
695,63.36332
696,72.34267
697,65.19032
698,69.30391
699,65.88961
700,69.21469
701,65.10544
702,69.70098
703,66.89634
704,68.59181
705,68.11154
706,69.51202
707,67.10599
708,67.22734
709,68.98407
710,67.70297
711,65.84752
712,67.78007
713,66.94875
714,67.95786
715,68.27803
716,65.39581
717,67.69701
718,69.11566
719,67.96711
720,65.61206
721,69.94279
722,68.70821
723,65.05504
724,66.68267
725,69.15056
726,65.41933
727,68.6403
